2023-05-12 11:20:46.795 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStarting(55) - Starting ProjectWebAppApplication using Java 20 on DESKTOP-UBVMRLS with PID 7320 (C:\Users\chewb\IdeaProjects\project-web-app\build\classes\java\main started by chewb in C:\Users\chewb\IdeaProjects\project-web-app)
2023-05-12 11:20:46.797 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStartupProfileInfo(634) - No active profile set, falling back to 1 default profile: "default"
2023-05-12 11:20:48.103 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStarted(61) - Started ProjectWebAppApplication in 1.806 seconds (JVM running for 2.469)
2023-05-12 11:24:30.009 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStarting(55) - Starting ProjectWebAppApplication using Java 20 on DESKTOP-UBVMRLS with PID 30000 (C:\Users\chewb\IdeaProjects\project-web-app\build\classes\java\main started by chewb in C:\Users\chewb\IdeaProjects\project-web-app)
2023-05-12 11:24:30.010 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStartupProfileInfo(634) - No active profile set, falling back to 1 default profile: "default"
2023-05-12 11:24:31.143 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStarted(61) - Started ProjectWebAppApplication in 1.461 seconds (JVM running for 2.081)
2023-05-12 11:29:18.429 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStarting(55) - Starting ProjectWebAppApplication using Java 20 on DESKTOP-UBVMRLS with PID 15392 (C:\Users\chewb\IdeaProjects\project-web-app\build\classes\java\main started by chewb in C:\Users\chewb\IdeaProjects\project-web-app)
2023-05-12 11:29:18.431 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStartupProfileInfo(634) - No active profile set, falling back to 1 default profile: "default"
2023-05-12 11:29:19.854 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStarted(61) - Started ProjectWebAppApplication in 1.821 seconds (JVM running for 2.366)
2023-05-12 11:33:13.171 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStarting(55) - Starting ProjectWebAppApplication using Java 20 on DESKTOP-UBVMRLS with PID 18584 (C:\Users\chewb\IdeaProjects\project-web-app\build\classes\java\main started by chewb in C:\Users\chewb\IdeaProjects\project-web-app)
2023-05-12 11:33:13.173 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStartupProfileInfo(634) - No active profile set, falling back to 1 default profile: "default"
2023-05-12 11:33:14.304 [restartedMain] INFO  c.p.webapp.ProjectWebAppApplication.logStarted(61) - Started ProjectWebAppApplication in 1.445 seconds (JVM running for 1.889)
